,A,B,G
358,[NH3+]C(C)CC,O=S(=O)([O-])c1ccc2cc3cc(ccc3cc2c1)S(=O)(=O)[O-],C1COCCO1
359,[NH3+]C(c1ccccc1)(c1ccccc1)c1ccccc1,O=S(=O)([O-])c1ccc(C=Cc2ccc(cc2)S(=O)(=O)[O-])cc1,Cc1ccccc1Cl
360,[NH3+]C(c1ccccc1)(c1ccccc1)c1ccccc1,O=S(=O)([O-])c1ccc(C=Cc2ccc(cc2)S(=O)(=O)[O-])cc1,Cc1ccccc1Cl
361,Nc1[nH+]cnc2N=CNc12,Oc1c2Cc3cc(cc(Cc4cc(cc(Cc5cc(cc(Cc1cc(c2)S(=O)(=O)[O-])c5O)S(=O)(=O)[O-])c4O)S(=O)(=O)[O-])c3O)S(=O)(=O)[O-],O
362,[NH3+]c1ccccc1,Oc1cc(O)c(c2OC(=CC(=O)c12)c1ccccc1)S(=O)(=O)[O-],O
363,Nc1[nH+]c(N)nc(N)n1,O=S(=O)([O-])c1cccc2c1cccc2S(=O)(=O)[O-],O
364,CC[N+](CC)(CC)CC,FC(F)(F)c1cc2COc3cccc(OCc4cc(NC(=S)Nc5cc(COc6cccc(OCc7cc(NC(=S)Nc(c2)c1)cc(c7)C(F)(F)F)c6)cc(c5)C(F)(F)F)cc(c4)C(F)(F)F)c3,O=S(=O)([O-])CCS(=O)(=O)[O-]
365,[NH3+]Cc1cccc(C[NH3+])c1,Cc1ccc(cc1)S(=O)(=O)[O-],O
366,C1CN2CC[NH+]1CC2,O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],CN(C)C=O
367,N1C(=[NH+]c2ccccc12)C1=[NH+]c2ccccc2N1,OC(=O)c1cc(ccc1O)S(=O)(=O)[O-],O
368,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)S(=O)(=O)[O-],C1CCOC1
369,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)S(=O)(=O)[O-],c1ccccc1
370,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)S(=O)(=O)[O-],Cc1ccc(C)cc1
371,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)S(=O)(=O)[O-],Cc1ccccc1C
372,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)S(=O)(=O)[O-],c1ccc2ccccc2c1
373,NC(N)=[NH2+],O=S(=O)([O-])c1ccc2cc(ccc2c1)S(=O)(=O)[O-],c1ccccc1
374,NC(N)=[NH2+],O=S(=O)([O-])c1ccc2cc(ccc2c1)S(=O)(=O)[O-],Cc1ccc(C)cc1
375,NC(N)=[NH2+],O=S(=O)([O-])c1ccc2cc(ccc2c1)S(=O)(=O)[O-],Cc1ccccc1C
376,NC(N)=[NH2+],O=S(=O)([O-])c1ccc2cc(ccc2c1)S(=O)(=O)[O-],Cc1cccc2ccccc12
377,NC(N)=[NH2+],O=S(=O)([O-])c1ccc2cc(ccc2c1)S(=O)(=O)[O-],c1cc2ccc3cccc4ccc(c1)c2c34
378,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],c1cc2cccc3c4cccc5cccc(c(c1)c23)c45
379,NC(N)=[NH2+],O=S(=O)([O-])c1ccc2cc3cc(ccc3cc2c1)S(=O)(=O)[O-],Cc1ccc(C)cc1
380,NC(N)=[NH2+],O=S(=O)([O-])c1ccc2cc3cc(ccc3cc2c1)S(=O)(=O)[O-],Cc1ccccc1C
381,NC(N)=[NH2+],O=S(=O)([O-])c1ccc2cc3cc(ccc3cc2c1)S(=O)(=O)[O-],c1ccc2ccccc2c1
382,NC(N)=[NH2+],O=S(=O)([O-])c1ccc2cc3cc(ccc3cc2c1)S(=O)(=O)[O-],c1cc2ccc3cccc4ccc(c1)c2c34
383,NC(N)=[NH2+],O=S(=O)([O-])c1ccc2cc3cc(ccc3cc2c1)S(=O)(=O)[O-],c1ccc(cc1)c1ccccc1
384,NC(N)=[NH2+],O=S(=O)([O-])c1ccc2cc3cc(ccc3cc2c1)S(=O)(=O)[O-],c1cc2cccc3c4cccc5cccc(c(c1)c23)c45
385,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(Oc2ccc(cc2)S(=O)(=O)[O-])cc1,Cc1ccccc1
386,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(Oc2ccc(cc2)S(=O)(=O)[O-])cc1,CC#N
387,NC(N)=[NH2+],COc1cc(C)c(c(C)c1S(=O)(=O)[O-])S(=O)(=O)[O-],C1CCOC1
388,Cc1cc(C)c(c(C)c1)C1=C2CN(C=C2)C2=[NH+]C(=C(C3=CC=C(N3)C3=[NH+]C(=C(C4=CC=C1N4)c1c(C)cc(C)cc1C)C=C3)c1c(C)cc(C)cc1C)C=C2,CS(=O)(=O)[O-],ClCCl
389,Cc1cc(C)c(c(C)c1)C1=C2CN(C=C2)C2=[NH+]C(=C(C3=CC=C(N3)N3C=CC(=C3)C(=C3[NH+]=C1C=C3)c1c(C)cc(C)cc1C)c1c(C)cc(C)cc1C)C=C2,CS(=O)(=O)[O-],ClCCl
390,[NH3+]c1ccc(CC#N)cc1,Cc1ccc(cc1)S(=O)(=O)[O-],O
391,[NH3+]C1CCCCC1[NH3+],Oc1c2Cc3cc(cc(Cc4cc(cc(Cc5cc(cc(Cc1cc(c2)S(=O)(=O)[O-])c5O)S(=O)(=O)[O-])c4O)S(=O)(=O)[O-])c3O)S(=O)(=O)[O-],O
