,A,B,G,cryst
1233,[NH3+]C(c1ccccc1)(c1ccccc1)c1ccccc1,O=S(=O)([O-])c1ccc(cc1)c1ccc2cc3ccccc3cc2c1,c1ccccc1,1
1234,[NH3+]C(c1ccccc1)(c1ccccc1)c1ccccc1,O=S(=O)([O-])c1ccc(cc1)c1ccc2cc3ccccc3cc2c1,Cc1ccc(C)cc1,1
1235,[NH3+]C(c1ccccc1)(c1ccccc1)c1ccccc1,O=S(=O)([O-])c1ccc(cc1)c1ccc2cc3ccccc3cc2c1,c1ccccc1,1
1236,[NH3+]C1CCCCC1[NH3+],CCOS(=O)(=O)[O-],OS(=O)(=O)[O-],1
1237,NC(N)=[NH2+],Cc1c(C)c(c(C)c(c1C)S(=O)(=O)[O-])S(=O)(=O)[O-],Cc1cc(C)cc(C)c1,1
1238,NC(N)=[NH2+],Cc1c(C)c(c(C)c(c1C)S(=O)(=O)[O-])S(=O)(=O)[O-],Cc1cc(C)cc(C)c1,1
1239,NC(N)=[NH2+],Cc1cc(C)c(c(C)c1S(=O)(=O)[O-])S(=O)(=O)[O-],O=N(=O)c1ccccc1,1
1240,NC(N)=[NH2+],Cc1cc(C)c(c(C)c1S(=O)(=O)[O-])S(=O)(=O)[O-],CN(C)c1cccc(c1)N(=O)=O,1
1241,NC(N)=[NH2+],Cc1cc(C)c(c(C)c1S(=O)(=O)[O-])S(=O)(=O)[O-],Cc1cc(C)cc(C)c1,1
1242,NC(N)=[NH2+],Cc1cc(C)c(c(C)c1S(=O)(=O)[O-])S(=O)(=O)[O-],Cc1cc(C)cc(C)c1,1
1243,NC(N)=[NH2+],Cc1cc(C)c(c(C)c1S(=O)(=O)[O-])S(=O)(=O)[O-],COc1ccc(cc1)N(=O)=O,1
1244,NC(N)=[NH2+],Cc1c(C)c(c(C)c(c1C)S(=O)(=O)[O-])S(=O)(=O)[O-],O=N(=O)c1ccccc1,1
1245,NC(N)=[NH2+],Cc1c(C)c(c(C)c(c1C)S(=O)(=O)[O-])S(=O)(=O)[O-],CN(C)c1cccc(c1)N(=O)=O,1
1246,NC(N)=[NH2+],Cc1c(C)c(c(C)c(c1C)S(=O)(=O)[O-])S(=O)(=O)[O-],COc1ccc(cc1)N(=O)=O,1
1247,NC(N)=[NH2+],Cc1c(C)c(c(C)c(c1C)S(=O)(=O)[O-])S(=O)(=O)[O-],CN(C)c1ccc(cc1)N(=O)=O,1
1248,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(c2ccccc12)c1ccc(c2ccccc12)S(=O)(=O)[O-],O=N(=O)c1ccccc1,1
1249,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(c2ccccc12)c1ccc(c2ccccc12)S(=O)(=O)[O-],CC1(C)C2CC=C(CO)C1C2,1
1250,N1C2=[NH+]c3ccccc3NC2=Nc2ccccc12,O=S(=O)([O-])c1ccc(cc1)S(=O)(=O)[O-],CS(C)=O,1
1251,C[n+]1ccc(cc1)c1cc[n+](C)cc1,Cc1ccc(cc1)S(=O)(=O)[O-],CCCOc1c2Cc3cccc(Cc4cccc(Cc5cc(CNC(=O)Nc6ccccc6)cc(Cc1ccc2)c5O)c4OCCC)c3O,1
1252,NC(N)=[NH2+],O=C1c2ccc(cc2C(=O)c2ccc(cc12)S(=O)(=O)[O-])S(=O)(=O)[O-],CCNc1cc2OC(=O)C=C(C)c2cc1C,1
1253,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(CCc2ccc(cc2)S(=O)(=O)[O-])cc1,CCN(CC)c1ccc2C(=CC(=O)Oc2c1)C,1
1254,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(C=Cc2ccc(cc2)S(=O)(=O)[O-])cc1,CCN(CC)c1ccc2C(=CC(=O)Oc2c1)C,1
1255,NC(N)=[NH2+],O=S(=O)([O-])CCCCCCCCS(=O)(=O)[O-],CCN(CC)c1ccc2C(=CC(=O)Oc2c1)C,1
1256,NC(N)=[NH2+],O=S(=O)([O-])CCCCCCCCS(=O)(=O)[O-],CC1=CC(=O)Oc2c3CCCN4CCCc(cc12)c34,1
1257,NC(N)=[NH2+],O=S(=O)([O-])c1ccc2cc3cc(ccc3cc2c1)S(=O)(=O)[O-],CCN(CC)c1ccc2C(=CC(=O)Oc2c1)C,1
1258,NC(N)=[NH2+],O=S(=O)([O-])c1ccc2cc3cc(ccc3cc2c1)S(=O)(=O)[O-],CC1=CC(=O)Oc2c3CCCN4CCCc(cc12)c34,1
1259,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],CCN(CC)c1ccc2C(=CC(=O)Oc2c1)C,1
1260,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],CC1=CC(=O)Oc2c3CCCN4CCCc(cc12)c34,1
1261,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(CCc2ccc(cc2)S(=O)(=O)[O-])cc1,CCOC(=O)C1=Cc2cc3CCCN4CCCc(c2OC1=O)c34,1
1262,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(CCc2ccc(cc2)S(=O)(=O)[O-])cc1,CC(=O)C1=Cc2cc3CCCN4CCCc(c2OC1=O)c34,1
1263,NC(N)=[NH2+],O=S(=O)([O-])c1ccc2cc(ccc2c1)S(=O)(=O)[O-],CCN(CC)c1ccc2C(=CC(=O)Oc2c1)C,1
1264,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],COc1cc(C=CC)ccc1O,1
1265,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],COc1ccc(C=O)cc1,1
1266,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],COc1ccc(C=O)cc1,1
1267,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],COc1ccc(C=CC)cc1,1
1268,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],COc1ccc(C=CC)cc1,1
1269,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],COc1ccc(C=CC)cc1OC,1
1270,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],COc1cc(CC=C)ccc1OC(C)=O,1
1271,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],COc1cc(CC=C)ccc1OC(C)=O,1
1272,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],CC(C)C1CCC(C)CC1OC(C)=O,1
1273,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],CC(C)C1CCC(C)CC1OC(C)=O,1
1274,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],Cc1ccc(C)cc1,1
1275,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],Clc1ccc(Cl)cc1,1
1276,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],Cc1ccccc1C,1
1277,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],Clc1ccccc1Cl,1
1278,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],Brc1ccccc1Br,1
1279,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],Brc1cccc(Br)c1,1
1280,CCC1=C(CC)C2=CC3=[NH+]C(=CC4=C(C)c5ccc6C(=C(Nc6c5N4)C=C4NC(=CC1=[NH+]2)C(=C4C)C)C)C(=C3C)C,Cc1ccc(cc1)S(=O)(=O)[O-],ClC(Cl)Cl,1
1281,[NH3+]CCCOCCCCOCCC[NH3+],O=S(=O)([O-])c1cc(c2ccc3c4c(ccc1c24)c(cc3S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-],NC(N)=[NH2+],1
1282,[NH3+]C(c1ccccc1)(c1ccccc1)c1ccccc1,O=S(=O)([O-])c1cccc2ccccc12,COc1ccccc1,1
1283,[NH3+]C(c1ccccc1)(c1ccccc1)c1ccccc1,O=S(=O)([O-])c1cccc2ccccc12,COc1ccccc1,1
1284,[NH3+]C(c1ccccc1)(c1ccccc1)c1ccccc1,O=S(=O)([O-])c1cccc2c1cccc2S(=O)(=O)[O-],CS(C)=O,1
1285,[NH3+]C(c1ccccc1)(c1ccccc1)c1ccccc1,O=S(=O)([O-])c1cccc2c1cccc2S(=O)(=O)[O-],NC(c1ccccc1)(c1ccccc1)c1ccccc1,1
1286,CC1C[NH2+]CCC1,O=S(=O)([O-])c1cccc2c1cccc2S(=O)(=O)[O-],NC(N)=[NH2+],1
1287,NC(N)=[NH2+],O=S(=O)([O-])c1cccc2c1cccc2S(=O)(=O)[O-],C1COCCOCCOCCOCCOCCO1,1
1288,C[NH2+]C,O=S(=O)([O-])c1cccc2c1cccc2S(=O)(=O)[O-],NC(N)=[NH2+],1
1289,C[NH2+]C,O=S(=O)([O-])c1cccc2c1cccc2S(=O)(=O)[O-],NC(N)=[NH2+],1
1290,C[n+]1ccc(N)cc1,Cc1ccc(cc1)S(=O)(=O)[O-],Oc1ccc(cc1)c1ccc(O)cc1,1
1291,C[n+]1ccc(N)cc1,Cc1ccc(cc1)S(=O)(=O)[O-],Oc1ccc2ccccc2c1c1c(O)ccc2ccccc12,1
1292,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(CCc2ccc(cc2)S(=O)(=O)[O-])cc1,O=C1OC(C(CCc2ccccc2)c2ccccc12)N(=O)=O,1
1293,[NH3+]C(C([NH3+])c1ccccc1C)c1ccccc1C,CC1(C)C2CCC1(CS(=O)(=O)[O-])C(=O)C2,c1ccccc1,1
1294,[NH3+]c1ccccc1[NH3+],Cc1ccc(cc1)S(=O)(=O)[O-],[NH3+]c1ccccc1N,1
1295,C1[NH+](CC2C[NH+](CC1C2)C(c1ccccc1)c1ccccc1)C(c1ccccc1)c1ccccc1,Cc1ccc(cc1)S(=O)(=O)[O-],CC(C)=O,1
